DateKey,FullDate,Day,Month,MonthName,Quarter,Year,DayOfWeek,WeekNumber,IsWeekend
20101201,2010-12-01,1,12,December,4,2010,Wednesday,48,False
20101202,2010-12-02,2,12,December,4,2010,Thursday,48,False
20101203,2010-12-03,3,12,December,4,2010,Friday,48,False
20101204,2010-12-04,4,12,December,4,2010,Saturday,48,True
20101205,2010-12-05,5,12,December,4,2010,Sunday,48,True
20101206,2010-12-06,6,12,December,4,2010,Monday,49,False
20101207,2010-12-07,7,12,December,4,2010,Tuesday,49,False
20101208,2010-12-08,8,12,December,4,2010,Wednesday,49,False
20101209,2010-12-09,9,12,December,4,2010,Thursday,49,False
20101210,2010-12-10,10,12,December,4,2010,Friday,49,False
20101211,2010-12-11,11,12,December,4,2010,Saturday,49,True
20101212,2010-12-12,12,12,December,4,2010,Sunday,49,True
20101213,2010-12-13,13,12,December,4,2010,Monday,50,False
20101214,2010-12-14,14,12,December,4,2010,Tuesday,50,False
20101215,2010-12-15,15,12,December,4,2010,Wednesday,50,False
20101216,2010-12-16,16,12,December,4,2010,Thursday,50,False
20101217,2010-12-17,17,12,December,4,2010,Friday,50,False
20101218,2010-12-18,18,12,December,4,2010,Saturday,50,True
20101219,2010-12-19,19,12,December,4,2010,Sunday,50,True
20101220,2010-12-20,20,12,December,4,2010,Monday,51,False
20101221,2010-12-21,21,12,December,4,2010,Tuesday,51,False
20101222,2010-12-22,22,12,December,4,2010,Wednesday,51,False
20101223,2010-12-23,23,12,December,4,2010,Thursday,51,False
20101224,2010-12-24,24,12,December,4,2010,Friday,51,False
20101225,2010-12-25,25,12,December,4,2010,Saturday,51,True
20101226,2010-12-26,26,12,December,4,2010,Sunday,51,True
20101227,2010-12-27,27,12,December,4,2010,Monday,52,False
20101228,2010-12-28,28,12,December,4,2010,Tuesday,52,False
20101229,2010-12-29,29,12,December,4,2010,Wednesday,52,False
20101230,2010-12-30,30,12,December,4,2010,Thursday,52,False
20101231,2010-12-31,31,12,December,4,2010,Friday,52,False
20110101,2011-01-01,1,1,January,1,2011,Saturday,52,True
20110102,2011-01-02,2,1,January,1,2011,Sunday,52,True
20110103,2011-01-03,3,1,January,1,2011,Monday,1,False
20110104,2011-01-04,4,1,January,1,2011,Tuesday,1,False
20110105,2011-01-05,5,1,January,1,2011,Wednesday,1,False
20110106,2011-01-06,6,1,January,1,2011,Thursday,1,False
20110107,2011-01-07,7,1,January,1,2011,Friday,1,False
20110108,2011-01-08,8,1,January,1,2011,Saturday,1,True
20110109,2011-01-09,9,1,January,1,2011,Sunday,1,True
20110110,2011-01-10,10,1,January,1,2011,Monday,2,False
20110111,2011-01-11,11,1,January,1,2011,Tuesday,2,False
20110112,2011-01-12,12,1,January,1,2011,Wednesday,2,False
20110113,2011-01-13,13,1,January,1,2011,Thursday,2,False
20110114,2011-01-14,14,1,January,1,2011,Friday,2,False
20110115,2011-01-15,15,1,January,1,2011,Saturday,2,True
20110116,2011-01-16,16,1,January,1,2011,Sunday,2,True
20110117,2011-01-17,17,1,January,1,2011,Monday,3,False
20110118,2011-01-18,18,1,January,1,2011,Tuesday,3,False
20110119,2011-01-19,19,1,January,1,2011,Wednesday,3,False
20110120,2011-01-20,20,1,January,1,2011,Thursday,3,False
20110121,2011-01-21,21,1,January,1,2011,Friday,3,False
20110122,2011-01-22,22,1,January,1,2011,Saturday,3,True
20110123,2011-01-23,23,1,January,1,2011,Sunday,3,True
20110124,2011-01-24,24,1,January,1,2011,Monday,4,False
20110125,2011-01-25,25,1,January,1,2011,Tuesday,4,False
20110126,2011-01-26,26,1,January,1,2011,Wednesday,4,False
20110127,2011-01-27,27,1,January,1,2011,Thursday,4,False
20110128,2011-01-28,28,1,January,1,2011,Friday,4,False
20110129,2011-01-29,29,1,January,1,2011,Saturday,4,True
20110130,2011-01-30,30,1,January,1,2011,Sunday,4,True
20110131,2011-01-31,31,1,January,1,2011,Monday,5,False
20110201,2011-02-01,1,2,February,1,2011,Tuesday,5,False
20110202,2011-02-02,2,2,February,1,2011,Wednesday,5,False
20110203,2011-02-03,3,2,February,1,2011,Thursday,5,False
20110204,2011-02-04,4,2,February,1,2011,Friday,5,False
20110205,2011-02-05,5,2,February,1,2011,Saturday,5,True
20110206,2011-02-06,6,2,February,1,2011,Sunday,5,True
20110207,2011-02-07,7,2,February,1,2011,Monday,6,False
20110208,2011-02-08,8,2,February,1,2011,Tuesday,6,False
20110209,2011-02-09,9,2,February,1,2011,Wednesday,6,False
20110210,2011-02-10,10,2,February,1,2011,Thursday,6,False
20110211,2011-02-11,11,2,February,1,2011,Friday,6,False
20110212,2011-02-12,12,2,February,1,2011,Saturday,6,True
20110213,2011-02-13,13,2,February,1,2011,Sunday,6,True
20110214,2011-02-14,14,2,February,1,2011,Monday,7,False
20110215,2011-02-15,15,2,February,1,2011,Tuesday,7,False
20110216,2011-02-16,16,2,February,1,2011,Wednesday,7,False
20110217,2011-02-17,17,2,February,1,2011,Thursday,7,False
20110218,2011-02-18,18,2,February,1,2011,Friday,7,False
20110219,2011-02-19,19,2,February,1,2011,Saturday,7,True
20110220,2011-02-20,20,2,February,1,2011,Sunday,7,True
20110221,2011-02-21,21,2,February,1,2011,Monday,8,False
20110222,2011-02-22,22,2,February,1,2011,Tuesday,8,False
20110223,2011-02-23,23,2,February,1,2011,Wednesday,8,False
20110224,2011-02-24,24,2,February,1,2011,Thursday,8,False
20110225,2011-02-25,25,2,February,1,2011,Friday,8,False
20110226,2011-02-26,26,2,February,1,2011,Saturday,8,True
20110227,2011-02-27,27,2,February,1,2011,Sunday,8,True
20110228,2011-02-28,28,2,February,1,2011,Monday,9,False
20110301,2011-03-01,1,3,March,1,2011,Tuesday,9,False
20110302,2011-03-02,2,3,March,1,2011,Wednesday,9,False
20110303,2011-03-03,3,3,March,1,2011,Thursday,9,False
20110304,2011-03-04,4,3,March,1,2011,Friday,9,False
20110305,2011-03-05,5,3,March,1,2011,Saturday,9,True
20110306,2011-03-06,6,3,March,1,2011,Sunday,9,True
20110307,2011-03-07,7,3,March,1,2011,Monday,10,False
20110308,2011-03-08,8,3,March,1,2011,Tuesday,10,False
20110309,2011-03-09,9,3,March,1,2011,Wednesday,10,False
20110310,2011-03-10,10,3,March,1,2011,Thursday,10,False
20110311,2011-03-11,11,3,March,1,2011,Friday,10,False
20110312,2011-03-12,12,3,March,1,2011,Saturday,10,True
20110313,2011-03-13,13,3,March,1,2011,Sunday,10,True
20110314,2011-03-14,14,3,March,1,2011,Monday,11,False
20110315,2011-03-15,15,3,March,1,2011,Tuesday,11,False
20110316,2011-03-16,16,3,March,1,2011,Wednesday,11,False
20110317,2011-03-17,17,3,March,1,2011,Thursday,11,False
20110318,2011-03-18,18,3,March,1,2011,Friday,11,False
20110319,2011-03-19,19,3,March,1,2011,Saturday,11,True
20110320,2011-03-20,20,3,March,1,2011,Sunday,11,True
20110321,2011-03-21,21,3,March,1,2011,Monday,12,False
20110322,2011-03-22,22,3,March,1,2011,Tuesday,12,False
20110323,2011-03-23,23,3,March,1,2011,Wednesday,12,False
20110324,2011-03-24,24,3,March,1,2011,Thursday,12,False
20110325,2011-03-25,25,3,March,1,2011,Friday,12,False
20110326,2011-03-26,26,3,March,1,2011,Saturday,12,True
20110327,2011-03-27,27,3,March,1,2011,Sunday,12,True
20110328,2011-03-28,28,3,March,1,2011,Monday,13,False
20110329,2011-03-29,29,3,March,1,2011,Tuesday,13,False
20110330,2011-03-30,30,3,March,1,2011,Wednesday,13,False
20110331,2011-03-31,31,3,March,1,2011,Thursday,13,False
20110401,2011-04-01,1,4,April,2,2011,Friday,13,False
20110402,2011-04-02,2,4,April,2,2011,Saturday,13,True
20110403,2011-04-03,3,4,April,2,2011,Sunday,13,True
20110404,2011-04-04,4,4,April,2,2011,Monday,14,False
20110405,2011-04-05,5,4,April,2,2011,Tuesday,14,False
20110406,2011-04-06,6,4,April,2,2011,Wednesday,14,False
20110407,2011-04-07,7,4,April,2,2011,Thursday,14,False
20110408,2011-04-08,8,4,April,2,2011,Friday,14,False
20110409,2011-04-09,9,4,April,2,2011,Saturday,14,True
20110410,2011-04-10,10,4,April,2,2011,Sunday,14,True
20110411,2011-04-11,11,4,April,2,2011,Monday,15,False
20110412,2011-04-12,12,4,April,2,2011,Tuesday,15,False
20110413,2011-04-13,13,4,April,2,2011,Wednesday,15,False
20110414,2011-04-14,14,4,April,2,2011,Thursday,15,False
20110415,2011-04-15,15,4,April,2,2011,Friday,15,False
20110416,2011-04-16,16,4,April,2,2011,Saturday,15,True
20110417,2011-04-17,17,4,April,2,2011,Sunday,15,True
20110418,2011-04-18,18,4,April,2,2011,Monday,16,False
20110419,2011-04-19,19,4,April,2,2011,Tuesday,16,False
20110420,2011-04-20,20,4,April,2,2011,Wednesday,16,False
20110421,2011-04-21,21,4,April,2,2011,Thursday,16,False
20110422,2011-04-22,22,4,April,2,2011,Friday,16,False
20110423,2011-04-23,23,4,April,2,2011,Saturday,16,True
20110424,2011-04-24,24,4,April,2,2011,Sunday,16,True
20110425,2011-04-25,25,4,April,2,2011,Monday,17,False
20110426,2011-04-26,26,4,April,2,2011,Tuesday,17,False
20110427,2011-04-27,27,4,April,2,2011,Wednesday,17,False
20110428,2011-04-28,28,4,April,2,2011,Thursday,17,False
20110429,2011-04-29,29,4,April,2,2011,Friday,17,False
20110430,2011-04-30,30,4,April,2,2011,Saturday,17,True
20110501,2011-05-01,1,5,May,2,2011,Sunday,17,True
20110502,2011-05-02,2,5,May,2,2011,Monday,18,False
20110503,2011-05-03,3,5,May,2,2011,Tuesday,18,False
20110504,2011-05-04,4,5,May,2,2011,Wednesday,18,False
20110505,2011-05-05,5,5,May,2,2011,Thursday,18,False
20110506,2011-05-06,6,5,May,2,2011,Friday,18,False
20110507,2011-05-07,7,5,May,2,2011,Saturday,18,True
20110508,2011-05-08,8,5,May,2,2011,Sunday,18,True
20110509,2011-05-09,9,5,May,2,2011,Monday,19,False
20110510,2011-05-10,10,5,May,2,2011,Tuesday,19,False
20110511,2011-05-11,11,5,May,2,2011,Wednesday,19,False
20110512,2011-05-12,12,5,May,2,2011,Thursday,19,False
20110513,2011-05-13,13,5,May,2,2011,Friday,19,False
20110514,2011-05-14,14,5,May,2,2011,Saturday,19,True
20110515,2011-05-15,15,5,May,2,2011,Sunday,19,True
20110516,2011-05-16,16,5,May,2,2011,Monday,20,False
20110517,2011-05-17,17,5,May,2,2011,Tuesday,20,False
20110518,2011-05-18,18,5,May,2,2011,Wednesday,20,False
20110519,2011-05-19,19,5,May,2,2011,Thursday,20,False
20110520,2011-05-20,20,5,May,2,2011,Friday,20,False
20110521,2011-05-21,21,5,May,2,2011,Saturday,20,True
20110522,2011-05-22,22,5,May,2,2011,Sunday,20,True
20110523,2011-05-23,23,5,May,2,2011,Monday,21,False
20110524,2011-05-24,24,5,May,2,2011,Tuesday,21,False
20110525,2011-05-25,25,5,May,2,2011,Wednesday,21,False
20110526,2011-05-26,26,5,May,2,2011,Thursday,21,False
20110527,2011-05-27,27,5,May,2,2011,Friday,21,False
20110528,2011-05-28,28,5,May,2,2011,Saturday,21,True
20110529,2011-05-29,29,5,May,2,2011,Sunday,21,True
20110530,2011-05-30,30,5,May,2,2011,Monday,22,False
20110531,2011-05-31,31,5,May,2,2011,Tuesday,22,False
20110601,2011-06-01,1,6,June,2,2011,Wednesday,22,False
20110602,2011-06-02,2,6,June,2,2011,Thursday,22,False
20110603,2011-06-03,3,6,June,2,2011,Friday,22,False
20110604,2011-06-04,4,6,June,2,2011,Saturday,22,True
20110605,2011-06-05,5,6,June,2,2011,Sunday,22,True
20110606,2011-06-06,6,6,June,2,2011,Monday,23,False
20110607,2011-06-07,7,6,June,2,2011,Tuesday,23,False
20110608,2011-06-08,8,6,June,2,2011,Wednesday,23,False
20110609,2011-06-09,9,6,June,2,2011,Thursday,23,False
20110610,2011-06-10,10,6,June,2,2011,Friday,23,False
20110611,2011-06-11,11,6,June,2,2011,Saturday,23,True
20110612,2011-06-12,12,6,June,2,2011,Sunday,23,True
20110613,2011-06-13,13,6,June,2,2011,Monday,24,False
20110614,2011-06-14,14,6,June,2,2011,Tuesday,24,False
20110615,2011-06-15,15,6,June,2,2011,Wednesday,24,False
20110616,2011-06-16,16,6,June,2,2011,Thursday,24,False
20110617,2011-06-17,17,6,June,2,2011,Friday,24,False
20110618,2011-06-18,18,6,June,2,2011,Saturday,24,True
20110619,2011-06-19,19,6,June,2,2011,Sunday,24,True
20110620,2011-06-20,20,6,June,2,2011,Monday,25,False
20110621,2011-06-21,21,6,June,2,2011,Tuesday,25,False
20110622,2011-06-22,22,6,June,2,2011,Wednesday,25,False
20110623,2011-06-23,23,6,June,2,2011,Thursday,25,False
20110624,2011-06-24,24,6,June,2,2011,Friday,25,False
20110625,2011-06-25,25,6,June,2,2011,Saturday,25,True
20110626,2011-06-26,26,6,June,2,2011,Sunday,25,True
20110627,2011-06-27,27,6,June,2,2011,Monday,26,False
20110628,2011-06-28,28,6,June,2,2011,Tuesday,26,False
20110629,2011-06-29,29,6,June,2,2011,Wednesday,26,False
20110630,2011-06-30,30,6,June,2,2011,Thursday,26,False
20110701,2011-07-01,1,7,July,3,2011,Friday,26,False
20110702,2011-07-02,2,7,July,3,2011,Saturday,26,True
20110703,2011-07-03,3,7,July,3,2011,Sunday,26,True
20110704,2011-07-04,4,7,July,3,2011,Monday,27,False
20110705,2011-07-05,5,7,July,3,2011,Tuesday,27,False
20110706,2011-07-06,6,7,July,3,2011,Wednesday,27,False
20110707,2011-07-07,7,7,July,3,2011,Thursday,27,False
20110708,2011-07-08,8,7,July,3,2011,Friday,27,False
20110709,2011-07-09,9,7,July,3,2011,Saturday,27,True
20110710,2011-07-10,10,7,July,3,2011,Sunday,27,True
20110711,2011-07-11,11,7,July,3,2011,Monday,28,False
20110712,2011-07-12,12,7,July,3,2011,Tuesday,28,False
20110713,2011-07-13,13,7,July,3,2011,Wednesday,28,False
20110714,2011-07-14,14,7,July,3,2011,Thursday,28,False
20110715,2011-07-15,15,7,July,3,2011,Friday,28,False
20110716,2011-07-16,16,7,July,3,2011,Saturday,28,True
20110717,2011-07-17,17,7,July,3,2011,Sunday,28,True
20110718,2011-07-18,18,7,July,3,2011,Monday,29,False
20110719,2011-07-19,19,7,July,3,2011,Tuesday,29,False
20110720,2011-07-20,20,7,July,3,2011,Wednesday,29,False
20110721,2011-07-21,21,7,July,3,2011,Thursday,29,False
20110722,2011-07-22,22,7,July,3,2011,Friday,29,False
20110723,2011-07-23,23,7,July,3,2011,Saturday,29,True
20110724,2011-07-24,24,7,July,3,2011,Sunday,29,True
20110725,2011-07-25,25,7,July,3,2011,Monday,30,False
20110726,2011-07-26,26,7,July,3,2011,Tuesday,30,False
20110727,2011-07-27,27,7,July,3,2011,Wednesday,30,False
20110728,2011-07-28,28,7,July,3,2011,Thursday,30,False
20110729,2011-07-29,29,7,July,3,2011,Friday,30,False
20110730,2011-07-30,30,7,July,3,2011,Saturday,30,True
20110731,2011-07-31,31,7,July,3,2011,Sunday,30,True
20110801,2011-08-01,1,8,August,3,2011,Monday,31,False
20110802,2011-08-02,2,8,August,3,2011,Tuesday,31,False
20110803,2011-08-03,3,8,August,3,2011,Wednesday,31,False
20110804,2011-08-04,4,8,August,3,2011,Thursday,31,False
20110805,2011-08-05,5,8,August,3,2011,Friday,31,False
20110806,2011-08-06,6,8,August,3,2011,Saturday,31,True
20110807,2011-08-07,7,8,August,3,2011,Sunday,31,True
20110808,2011-08-08,8,8,August,3,2011,Monday,32,False
20110809,2011-08-09,9,8,August,3,2011,Tuesday,32,False
20110810,2011-08-10,10,8,August,3,2011,Wednesday,32,False
20110811,2011-08-11,11,8,August,3,2011,Thursday,32,False
20110812,2011-08-12,12,8,August,3,2011,Friday,32,False
20110813,2011-08-13,13,8,August,3,2011,Saturday,32,True
20110814,2011-08-14,14,8,August,3,2011,Sunday,32,True
20110815,2011-08-15,15,8,August,3,2011,Monday,33,False
20110816,2011-08-16,16,8,August,3,2011,Tuesday,33,False
20110817,2011-08-17,17,8,August,3,2011,Wednesday,33,False
20110818,2011-08-18,18,8,August,3,2011,Thursday,33,False
20110819,2011-08-19,19,8,August,3,2011,Friday,33,False
20110820,2011-08-20,20,8,August,3,2011,Saturday,33,True
20110821,2011-08-21,21,8,August,3,2011,Sunday,33,True
20110822,2011-08-22,22,8,August,3,2011,Monday,34,False
20110823,2011-08-23,23,8,August,3,2011,Tuesday,34,False
20110824,2011-08-24,24,8,August,3,2011,Wednesday,34,False
20110825,2011-08-25,25,8,August,3,2011,Thursday,34,False
20110826,2011-08-26,26,8,August,3,2011,Friday,34,False
20110827,2011-08-27,27,8,August,3,2011,Saturday,34,True
20110828,2011-08-28,28,8,August,3,2011,Sunday,34,True
20110829,2011-08-29,29,8,August,3,2011,Monday,35,False
20110830,2011-08-30,30,8,August,3,2011,Tuesday,35,False
20110831,2011-08-31,31,8,August,3,2011,Wednesday,35,False
20110901,2011-09-01,1,9,September,3,2011,Thursday,35,False
20110902,2011-09-02,2,9,September,3,2011,Friday,35,False
20110903,2011-09-03,3,9,September,3,2011,Saturday,35,True
20110904,2011-09-04,4,9,September,3,2011,Sunday,35,True
20110905,2011-09-05,5,9,September,3,2011,Monday,36,False
20110906,2011-09-06,6,9,September,3,2011,Tuesday,36,False
20110907,2011-09-07,7,9,September,3,2011,Wednesday,36,False
20110908,2011-09-08,8,9,September,3,2011,Thursday,36,False
20110909,2011-09-09,9,9,September,3,2011,Friday,36,False
20110910,2011-09-10,10,9,September,3,2011,Saturday,36,True
20110911,2011-09-11,11,9,September,3,2011,Sunday,36,True
20110912,2011-09-12,12,9,September,3,2011,Monday,37,False
20110913,2011-09-13,13,9,September,3,2011,Tuesday,37,False
20110914,2011-09-14,14,9,September,3,2011,Wednesday,37,False
20110915,2011-09-15,15,9,September,3,2011,Thursday,37,False
20110916,2011-09-16,16,9,September,3,2011,Friday,37,False
20110917,2011-09-17,17,9,September,3,2011,Saturday,37,True
20110918,2011-09-18,18,9,September,3,2011,Sunday,37,True
20110919,2011-09-19,19,9,September,3,2011,Monday,38,False
20110920,2011-09-20,20,9,September,3,2011,Tuesday,38,False
20110921,2011-09-21,21,9,September,3,2011,Wednesday,38,False
20110922,2011-09-22,22,9,September,3,2011,Thursday,38,False
20110923,2011-09-23,23,9,September,3,2011,Friday,38,False
20110924,2011-09-24,24,9,September,3,2011,Saturday,38,True
20110925,2011-09-25,25,9,September,3,2011,Sunday,38,True
20110926,2011-09-26,26,9,September,3,2011,Monday,39,False
20110927,2011-09-27,27,9,September,3,2011,Tuesday,39,False
20110928,2011-09-28,28,9,September,3,2011,Wednesday,39,False
20110929,2011-09-29,29,9,September,3,2011,Thursday,39,False
20110930,2011-09-30,30,9,September,3,2011,Friday,39,False
20111001,2011-10-01,1,10,October,4,2011,Saturday,39,True
20111002,2011-10-02,2,10,October,4,2011,Sunday,39,True
20111003,2011-10-03,3,10,October,4,2011,Monday,40,False
20111004,2011-10-04,4,10,October,4,2011,Tuesday,40,False
20111005,2011-10-05,5,10,October,4,2011,Wednesday,40,False
20111006,2011-10-06,6,10,October,4,2011,Thursday,40,False
20111007,2011-10-07,7,10,October,4,2011,Friday,40,False
20111008,2011-10-08,8,10,October,4,2011,Saturday,40,True
20111009,2011-10-09,9,10,October,4,2011,Sunday,40,True
20111010,2011-10-10,10,10,October,4,2011,Monday,41,False
20111011,2011-10-11,11,10,October,4,2011,Tuesday,41,False
20111012,2011-10-12,12,10,October,4,2011,Wednesday,41,False
20111013,2011-10-13,13,10,October,4,2011,Thursday,41,False
20111014,2011-10-14,14,10,October,4,2011,Friday,41,False
20111015,2011-10-15,15,10,October,4,2011,Saturday,41,True
20111016,2011-10-16,16,10,October,4,2011,Sunday,41,True
20111017,2011-10-17,17,10,October,4,2011,Monday,42,False
20111018,2011-10-18,18,10,October,4,2011,Tuesday,42,False
20111019,2011-10-19,19,10,October,4,2011,Wednesday,42,False
20111020,2011-10-20,20,10,October,4,2011,Thursday,42,False
20111021,2011-10-21,21,10,October,4,2011,Friday,42,False
20111022,2011-10-22,22,10,October,4,2011,Saturday,42,True
20111023,2011-10-23,23,10,October,4,2011,Sunday,42,True
20111024,2011-10-24,24,10,October,4,2011,Monday,43,False
20111025,2011-10-25,25,10,October,4,2011,Tuesday,43,False
20111026,2011-10-26,26,10,October,4,2011,Wednesday,43,False
20111027,2011-10-27,27,10,October,4,2011,Thursday,43,False
20111028,2011-10-28,28,10,October,4,2011,Friday,43,False
20111029,2011-10-29,29,10,October,4,2011,Saturday,43,True
20111030,2011-10-30,30,10,October,4,2011,Sunday,43,True
20111031,2011-10-31,31,10,October,4,2011,Monday,44,False
20111101,2011-11-01,1,11,November,4,2011,Tuesday,44,False
20111102,2011-11-02,2,11,November,4,2011,Wednesday,44,False
20111103,2011-11-03,3,11,November,4,2011,Thursday,44,False
20111104,2011-11-04,4,11,November,4,2011,Friday,44,False
20111105,2011-11-05,5,11,November,4,2011,Saturday,44,True
20111106,2011-11-06,6,11,November,4,2011,Sunday,44,True
20111107,2011-11-07,7,11,November,4,2011,Monday,45,False
20111108,2011-11-08,8,11,November,4,2011,Tuesday,45,False
20111109,2011-11-09,9,11,November,4,2011,Wednesday,45,False
20111110,2011-11-10,10,11,November,4,2011,Thursday,45,False
20111111,2011-11-11,11,11,November,4,2011,Friday,45,False
20111112,2011-11-12,12,11,November,4,2011,Saturday,45,True
20111113,2011-11-13,13,11,November,4,2011,Sunday,45,True
20111114,2011-11-14,14,11,November,4,2011,Monday,46,False
20111115,2011-11-15,15,11,November,4,2011,Tuesday,46,False
20111116,2011-11-16,16,11,November,4,2011,Wednesday,46,False
20111117,2011-11-17,17,11,November,4,2011,Thursday,46,False
20111118,2011-11-18,18,11,November,4,2011,Friday,46,False
20111119,2011-11-19,19,11,November,4,2011,Saturday,46,True
20111120,2011-11-20,20,11,November,4,2011,Sunday,46,True
20111121,2011-11-21,21,11,November,4,2011,Monday,47,False
20111122,2011-11-22,22,11,November,4,2011,Tuesday,47,False
20111123,2011-11-23,23,11,November,4,2011,Wednesday,47,False
20111124,2011-11-24,24,11,November,4,2011,Thursday,47,False
20111125,2011-11-25,25,11,November,4,2011,Friday,47,False
20111126,2011-11-26,26,11,November,4,2011,Saturday,47,True
20111127,2011-11-27,27,11,November,4,2011,Sunday,47,True
20111128,2011-11-28,28,11,November,4,2011,Monday,48,False
20111129,2011-11-29,29,11,November,4,2011,Tuesday,48,False
20111130,2011-11-30,30,11,November,4,2011,Wednesday,48,False
20111201,2011-12-01,1,12,December,4,2011,Thursday,48,False
20111202,2011-12-02,2,12,December,4,2011,Friday,48,False
20111203,2011-12-03,3,12,December,4,2011,Saturday,48,True
20111204,2011-12-04,4,12,December,4,2011,Sunday,48,True
20111205,2011-12-05,5,12,December,4,2011,Monday,49,False
20111206,2011-12-06,6,12,December,4,2011,Tuesday,49,False
20111207,2011-12-07,7,12,December,4,2011,Wednesday,49,False
20111208,2011-12-08,8,12,December,4,2011,Thursday,49,False
20111209,2011-12-09,9,12,December,4,2011,Friday,49,False
20111210,2011-12-10,10,12,December,4,2011,Saturday,49,True
20111211,2011-12-11,11,12,December,4,2011,Sunday,49,True
20111212,2011-12-12,12,12,December,4,2011,Monday,50,False
20111213,2011-12-13,13,12,December,4,2011,Tuesday,50,False
20111214,2011-12-14,14,12,December,4,2011,Wednesday,50,False
20111215,2011-12-15,15,12,December,4,2011,Thursday,50,False
20111216,2011-12-16,16,12,December,4,2011,Friday,50,False
20111217,2011-12-17,17,12,December,4,2011,Saturday,50,True
20111218,2011-12-18,18,12,December,4,2011,Sunday,50,True
20111219,2011-12-19,19,12,December,4,2011,Monday,51,False
20111220,2011-12-20,20,12,December,4,2011,Tuesday,51,False
20111221,2011-12-21,21,12,December,4,2011,Wednesday,51,False
20111222,2011-12-22,22,12,December,4,2011,Thursday,51,False
20111223,2011-12-23,23,12,December,4,2011,Friday,51,False
20111224,2011-12-24,24,12,December,4,2011,Saturday,51,True
20111225,2011-12-25,25,12,December,4,2011,Sunday,51,True
20111226,2011-12-26,26,12,December,4,2011,Monday,52,False
20111227,2011-12-27,27,12,December,4,2011,Tuesday,52,False
20111228,2011-12-28,28,12,December,4,2011,Wednesday,52,False
20111229,2011-12-29,29,12,December,4,2011,Thursday,52,False
20111230,2011-12-30,30,12,December,4,2011,Friday,52,False
20111231,2011-12-31,31,12,December,4,2011,Saturday,52,True
